LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823637.745250,41084.333,3819,3,PI,1,100,170599
1707823637.785130,41123.000,3819,3,PI,1,100,170519
1707823637.826385,41163.000,3836,3,PI,1,100,170471
1707823637.867640,41203.000,3836,3,PI,1,100,170504
1707823637.908895,41243.000,3836,3,PI,1,100,170561
1707823637.949119,41282.000,3853,2,PI,1,100,170595
1707823637.989343,41321.000,3853,2,PI,1,100,170595
1707823638.029223,41359.667,3870,3,PI,1,100,170631
1707823638.069103,41398.333,3870,3,PI,1,100,170676
1707823638.108983,41437.000,3870,3,PI,1,100,170730
1707823638.148175,41475.000,3886,2,PI,1,100,170793
1707823638.187367,41513.000,3886,2,PI,1,100,170856
1707823638.226904,41551.333,3904,3,PI,1,100,170903
1707823638.266440,41589.667,3904,3,PI,1,100,170954
1707823638.305976,41628.000,3904,3,PI,1,100,171003
1707823638.345856,41666.667,3920,3,PI,1,100,171053
1707823638.385736,41705.333,3920,3,PI,1,100,171114
1707823638.425616,41744.000,3920,3,PI,1,100,171166
1707823638.466355,41783.500,3935,2,PI,1,100,171154
1707823638.507095,41823.000,3935,2,PI,1,100,170897
1707823638.547662,41862.333,3951,3,PI,1,100,170634
1707823638.588230,41901.667,3951,3,PI,1,100,170477
1707823638.628797,41941.000,3951,3,PI,1,100,170376
1707823638.669021,41980.000,3971,2,PI,1,100,170303
1707823638.709245,42019.000,3971,2,PI,1,100,170316
1707823638.748781,42057.333,3987,3,PI,1,100,170372
1707823638.788317,42095.667,3987,3,PI,1,100,170393
1707823638.827853,42134.000,3987,3,PI,1,100,170421
1707823638.867390,42172.333,4004,3,PI,1,100,170455
1707823638.906926,42210.667,4004,3,PI,1,100,170489
1707823638.946462,42249.000,4004,3,PI,1,100,170548
1707823638.986170,42287.500,4021,2,PI,1,100,170604
1707823639.025878,42326.000,4021,2,PI,1,100,170656
1707823639.066789,42365.667,4038,3,PI,1,100,170719
1707823639.107701,42405.333,4038,3,PI,1,100,170760
1707823639.148612,42445.000,4038,3,PI,1,100,170816
