LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823634.333106,37776.000,3292,2,AY,1,100,0.542
1707823634.373330,37815.000,3308,3,AY,1,100,0.548
1707823634.413554,37854.000,3308,3,AY,1,100,0.539
1707823634.453777,37893.000,3308,3,AY,1,100,0.539
1707823634.488844,37927.000,3325,3,AY,1,100,0.546
1707823634.523911,37961.000,3325,3,AY,1,100,0.544
1707823634.558978,37995.000,3325,3,AY,1,100,0.537
1707823634.598858,38033.667,3342,3,AY,1,100,0.544
1707823634.638738,38072.333,3342,3,AY,1,100,0.544
1707823634.678618,38111.000,3342,3,AY,1,100,0.543
1707823634.718326,38149.500,3359,2,AY,1,100,0.544
1707823634.758034,38188.000,3359,2,AY,1,100,0.542
1707823634.797570,38226.333,3375,3,AY,1,100,0.544
1707823634.837106,38264.667,3375,3,AY,1,100,0.545
1707823634.876643,38303.000,3375,3,AY,1,100,0.541
1707823634.916866,38342.000,3393,3,AY,1,100,0.542
1707823634.957090,38381.000,3393,3,AY,1,100,0.546
1707823634.997314,38420.000,3393,3,AY,1,100,0.542
1707823635.038053,38459.500,3407,2,AY,1,100,0.538
1707823635.078793,38499.000,3407,2,AY,1,100,0.542
1707823635.118673,38537.667,3424,3,AY,1,100,0.539
1707823635.158553,38576.333,3424,3,AY,1,100,0.545
1707823635.198433,38615.000,3424,3,AY,1,100,0.543
1707823635.238141,38653.500,3440,2,AY,1,100,0.543
1707823635.277849,38692.000,3440,2,AY,1,100,0.546
1707823635.317729,38730.667,3458,3,AY,1,100,0.544
1707823635.357609,38769.333,3458,3,AY,1,100,0.545
1707823635.397489,38808.000,3458,3,AY,1,100,0.544
1707823635.437369,38846.667,3476,3,AY,1,100,0.547
1707823635.477249,38885.333,3476,3,AY,1,100,0.537
1707823635.517129,38924.000,3476,3,AY,1,100,0.542
1707823635.557352,38963.000,3491,2,AY,1,100,0.546
1707823635.597576,39002.000,3491,2,AY,1,100,0.546
1707823635.637112,39040.333,3508,3,AY,1,100,0.544
1707823635.676648,39078.667,3508,3,AY,1,100,0.542
1707823635.716185,39117.000,3508,3,AY,1,100,0.546
1707823635.755996,39155.600,3528,5,AY,1,100,0.547
1707823635.795807,39194.200,3528,5,AY,1,100,0.541
1707823635.835618,39232.800,3528,5,AY,1,100,0.545
1707823635.875429,39271.400,3528,5,AY,1,100,0.549
1707823635.915241,39310.000,3528,5,AY,1,100,0.543
1707823635.955121,39348.667,3544,3,AY,1,100,0.546
1707823635.995001,39387.333,3544,3,AY,1,100,0.549
1707823636.034881,39426.000,3544,3,AY,1,100,0.547
1707823636.074589,39464.500,3560,2,AY,1,100,0.546
1707823636.114297,39503.000,3560,2,AY,1,100,0.547
1707823636.154177,39541.667,3577,3,AY,1,100,0.543
1707823636.194057,39580.333,3577,3,AY,1,100,0.553
1707823636.233937,39619.000,3577,3,AY,1,100,0.548
1707823636.273129,39657.000,3594,3,AY,1,100,0.544
1707823636.312321,39695.000,3594,3,AY,1,100,0.545
1707823636.351514,39733.000,3594,3,AY,1,100,0.550
1707823636.391738,39772.000,3613,2,AY,1,100,0.549
1707823636.431961,39811.000,3613,2,AY,1,100,0.544
1707823636.471841,39849.667,3627,3,AY,1,100,0.550
1707823636.511721,39888.333,3627,3,AY,1,100,0.551
1707823636.551601,39927.000,3627,3,AY,1,100,0.546
1707823636.591309,39965.500,3645,2,AY,1,100,0.549
1707823636.631017,40004.000,3645,2,AY,1,100,0.546
1707823636.670553,40042.333,3661,3,AY,1,100,0.550
1707823636.710090,40080.667,3661,3,AY,1,100,0.546
1707823636.749626,40119.000,3661,3,AY,1,100,0.548
1707823636.784693,40153.000,3678,3,AY,1,100,0.552
1707823636.819760,40187.000,3678,3,AY,1,100,0.551
1707823636.854826,40221.000,3678,3,AY,1,100,0.555
1707823636.895050,40260.000,3693,2,AY,1,100,0.550
1707823636.935274,40299.000,3693,2,AY,1,100,0.554
1707823636.974810,40337.333,3710,3,AY,1,100,0.549
1707823637.014346,40375.667,3710,3,AY,1,100,0.557
1707823637.053882,40414.000,3710,3,AY,1,100,0.549
1707823637.093762,40452.667,3726,3,AY,1,100,0.560
1707823637.133642,40491.333,3726,3,AY,1,100,0.552
1707823637.173522,40530.000,3726,3,AY,1,100,0.556
1707823637.213746,40569.000,3745,2,AY,1,100,0.559
1707823637.253970,40608.000,3745,2,AY,1,100,0.556
1707823637.294881,40647.667,3762,3,AY,1,100,0.555
1707823637.335793,40687.333,3762,3,AY,1,100,0.553
1707823637.376704,40727.000,3762,3,AY,1,100,0.557
1707823637.416412,40765.500,3777,2,AY,1,100,0.561
1707823637.456120,40804.000,3777,2,AY,1,100,0.559
1707823637.495656,40842.333,3793,3,AY,1,100,0.556
1707823637.535192,40880.667,3793,3,AY,1,100,0.557
1707823637.574729,40919.000,3793,3,AY,1,100,0.560
1707823637.614265,40957.333,3811,3,AY,1,100,0.558
1707823637.653801,40995.667,3811,3,AY,1,100,0.553
1707823637.693337,41034.000,3811,3,AY,1,100,0.560
1707823637.733561,41073.000,3827,2,AY,1,100,0.559
1707823637.773785,41112.000,3827,2,AY,1,100,0.560
1707823637.814352,41151.333,3844,3,AY,1,100,0.561
1707823637.854920,41190.667,3844,3,AY,1,100,0.557
1707823637.895487,41230.000,3844,3,AY,1,100,0.560
1707823637.935711,41269.000,3859,2,AY,1,100,0.560
1707823637.975935,41308.000,3859,2,AY,1,100,0.567
1707823638.015815,41346.667,3878,3,AY,1,100,0.559
1707823638.055695,41385.333,3878,3,AY,1,100,0.567
1707823638.095575,41424.000,3878,3,AY,1,100,0.560
1707823638.135111,41462.333,3894,3,AY,1,100,0.557
