LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707824243.990512,628990.000,32667,3,PG,1,100,10022
1707824244.031738,629030.000,32667,3,PG,1,100,10035
1707824244.072963,629070.000,32667,3,PG,1,100,10056
1707824244.112642,629108.500,32684,2,PG,1,100,10072
1707824244.152321,629147.000,32684,2,PG,1,100,10098
1707824244.196638,629190.000,32698,3,PG,1,100,10117
1707824244.240956,629233.000,32698,3,PG,1,100,10131
1707824244.285273,629276.000,32698,3,PG,1,100,10117
1707824244.324952,629314.500,32715,2,PG,1,100,10019
1707824244.364631,629353.000,32715,2,PG,1,100,9938
1707824244.404568,629391.750,32732,4,PG,1,100,9892
1707824244.444505,629430.500,32732,4,PG,1,100,9859
1707824244.484442,629469.250,32732,4,PG,1,100,9866
1707824244.524379,629508.000,32732,4,PG,1,100,9888
1707824244.564574,629547.000,32749,2,PG,1,100,9902
1707824244.604768,629586.000,32749,2,PG,1,100,9912
1707824244.644276,629624.333,32767,3,PG,1,100,9927
1707824244.683783,629662.667,32767,3,PG,1,100,9952
1707824244.723291,629701.000,32767,3,PG,1,100,9970
1707824244.762455,629739.000,32784,2,PG,1,100,9995
1707824244.801619,629777.000,32784,2,PG,1,100,10019
1707824244.841470,629815.667,32799,3,PG,1,100,10044
1707824244.881321,629854.333,32799,3,PG,1,100,10062
1707824244.921172,629893.000,32799,3,PG,1,100,10085
1707824244.961023,629931.667,32816,3,PG,1,100,10094
1707824245.000874,629970.333,32816,3,PG,1,100,10119
1707824245.040725,630009.000,32816,3,PG,1,100,10132
1707824245.080232,630047.333,32833,3,PG,1,100,10155
1707824245.119740,630085.667,32833,3,PG,1,100,10158
1707824245.159247,630124.000,32833,3,PG,1,100,10099
1707824245.199098,630162.667,32850,3,PG,1,100,9998
1707824245.238949,630201.333,32850,3,PG,1,100,9930
1707824245.278800,630240.000,32850,3,PG,1,100,9898
1707824245.317964,630278.000,32866,2,PG,1,100,9895
1707824245.357128,630316.000,32866,2,PG,1,100,9902
1707824245.396636,630354.333,32882,3,PG,1,100,9928
1707824245.436143,630392.667,32882,3,PG,1,100,9943
1707824245.475651,630431.000,32882,3,PG,1,100,9943
1707824245.515845,630470.000,32900,3,PG,1,100,9965
1707824245.556040,630509.000,32900,3,PG,1,100,9979
1707824245.596235,630548.000,32900,3,PG,1,100,10002
1707824245.636945,630587.500,32917,2,PG,1,100,10028
1707824245.677654,630627.000,32917,2,PG,1,100,10044
1707824245.718193,630666.333,32934,3,PG,1,100,10062
1707824245.758731,630705.667,32934,3,PG,1,100,10090
1707824245.799269,630745.000,32934,3,PG,1,100,10103
1707824245.839120,630783.667,32951,3,PG,1,100,10121
1707824245.878971,630822.333,32951,3,PG,1,100,10141
1707824245.918822,630861.000,32951,3,PG,1,100,10169
1707824245.957299,630898.333,32967,3,PG,1,100,10167
1707824245.995776,630935.667,32967,3,PG,1,100,10070
1707824246.034253,630973.000,32967,3,PG,1,100,9968
1707824246.073932,631011.500,32983,2,PG,1,100,9896
1707824246.113611,631050.000,32983,2,PG,1,100,9852
1707824246.153806,631089.000,32999,3,PG,1,100,9827
1707824246.194000,631128.000,32999,3,PG,1,100,9836
1707824246.234195,631167.000,32999,3,PG,1,100,9862
1707824246.275420,631207.000,33016,2,PG,1,100,9873
1707824246.316645,631247.000,33016,2,PG,1,100,9884
1707824246.356582,631285.750,33035,4,PG,1,100,9895
1707824246.396519,631324.500,33035,4,PG,1,100,9917
1707824246.436456,631363.250,33035,4,PG,1,100,9942
1707824246.476393,631402.000,33035,4,PG,1,100,9967
1707824246.516244,631440.667,33052,3,PG,1,100,9989
1707824246.556095,631479.333,33052,3,PG,1,100,10020
1707824246.595946,631518.000,33052,3,PG,1,100,10044
1707824246.635110,631556.000,33067,2,PG,1,100,10062
1707824246.674274,631594.000,33067,2,PG,1,100,10074
1707824246.714125,631632.667,33084,3,PG,1,100,10104
1707824246.753976,631671.333,33084,3,PG,1,100,10120
1707824246.793827,631710.000,33084,3,PG,1,100,10125
1707824246.834537,631749.500,33100,2,PG,1,100,10082
1707824246.875247,631789.000,33100,2,PG,1,100,9963
1707824246.916129,631828.667,33117,3,PG,1,100,9887
1707824246.957011,631868.333,33117,3,PG,1,100,9830
1707824246.997892,631908.000,33117,3,PG,1,100,9803
1707824247.037468,631946.400,33135,5,PG,1,100,9795
1707824247.077045,631984.800,33135,5,PG,1,100,9812
1707824247.116621,632023.200,33135,5,PG,1,100,9833
1707824247.156197,632061.600,33135,5,PG,1,100,9842
1707824247.195773,632100.000,33135,5,PG,1,100,9863
1707824247.235195,632138.250,33153,4,PG,1,100,9893
1707824247.274617,632176.500,33153,4,PG,1,100,9904
1707824247.314038,632214.750,33153,4,PG,1,100,9934
1707824247.353460,632253.000,33153,4,PG,1,100,9973
1707824247.393860,632292.200,33171,5,PG,1,100,9991
1707824247.434261,632331.400,33171,5,PG,1,100,10010
1707824247.474662,632370.600,33171,5,PG,1,100,10035
1707824247.515063,632409.800,33171,5,PG,1,100,10051
1707824247.555463,632449.000,33171,5,PG,1,100,10078
1707824247.597719,632490.000,33189,6,PG,1,100,10095
1707824247.639975,632531.000,33189,6,PG,1,100,10113
1707824247.682231,632572.000,33189,6,PG,1,100,10122
1707824247.724487,632613.000,33189,6,PG,1,100,10068
1707824247.766743,632654.000,33189,6,PG,1,100,9957
1707824247.808998,632695.000,33189,6,PG,1,100,9887
1707824247.849193,632734.000,33207,3,PG,1,100,9850
1707824247.889388,632773.000,33207,3,PG,1,100,9834
1707824247.929582,632812.000,33207,3,PG,1,100,9842
1707824247.969262,632850.500,33223,2,PG,1,100,9862
1707824248.008941,632889.000,33223,2,PG,1,100,9880
1707824248.048105,632927.000,33241,3,PG,1,100,9891
1707824248.087269,632965.000,33241,3,PG,1,100,9916
1707824248.126433,633003.000,33241,3,PG,1,100,9925
1707824248.166112,633041.500,33258,2,PG,1,100,9958
1707824248.205791,633080.000,33258,2,PG,1,100,9985
1707824248.245986,633119.000,33274,3,PG,1,100,10006
1707824248.286180,633158.000,33274,3,PG,1,100,10032
1707824248.326375,633197.000,33274,3,PG,1,100,10046
1707824248.366226,633235.667,33292,3,PG,1,100,10079
1707824248.406077,633274.333,33292,3,PG,1,100,10093
1707824248.445928,633313.000,33292,3,PG,1,100,10109
1707824248.485607,633351.500,33306,2,PG,1,100,10130
1707824248.525287,633390.000,33306,2,PG,1,100,10152
1707824248.564794,633428.333,33323,3,PG,1,100,10158
1707824248.604302,633466.667,33323,3,PG,1,100,10123
1707824248.643809,633505.000,33323,3,PG,1,100,10013
1707824248.683317,633543.333,33340,3,PG,1,100,9956
1707824248.722824,633581.667,33340,3,PG,1,100,9926
1707824248.762332,633620.000,33340,3,PG,1,100,9912
1707824248.802526,633659.000,33357,2,PG,1,100,9929
1707824248.842721,633698.000,33357,2,PG,1,100,9954
1707824248.882503,633736.600,33381,5,PG,1,100,9971
1707824248.922286,633775.200,33381,5,PG,1,100,9979
1707824248.962068,633813.800,33381,5,PG,1,100,9992
1707824249.001850,633852.400,33381,5,PG,1,100,10025
