"","category","item","stim","condition","edv","gid","dyad","pid1","pid2","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","catH","win","TREND","t","use"
"93","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.207100591716,NA,0,0,0,NA,NA,0,0,NA,7,NA,4.66666666666667,1
"94","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.7988165680473,NA,0,0,0,NA,NA,0,0,NA,8,NA,5.33333333333333,1
"95","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",11.5384615384615,16.6666666666667,3,4.33333333333333,4.33333333333333,0.636514168294813,0.918295834054489,38.4615384615385,3,NA,9,NA,6,1
"96","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.3550295857988,NA,0,0,0,NA,NA,0,0,NA,10,NA,6.66666666666667,1
"97","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.9467455621302,18.9189189189189,3,4.66666666666667,4.66666666666667,0.636514168294813,0.918295834054489,50,2.3125,NA,11,NA,7.33333333333333,1
"98","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.3550295857988,25.7142857142857,4,4.5,4.5,0.562335144618808,0.811278124459133,60,2.47058823529412,NA,12,NA,8,1
"99","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.3550295857988,NA,0,0,0,NA,NA,0,0,NA,13,NA,8.66666666666667,1
"100","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",23.8165680473373,68.3229813664596,17,6.47058823529412,6.47058823529412,1.57923313461134,0.811565290092153,85.7142857142857,4.18181818181818,NA,14,NA,9.33333333333333,1
"101","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",21.4497041420118,62.0689655172414,11,8.18181818181818,8.18181818181818,2.27186851269656,0.986659958673865,96.551724137931,6.66666666666667,NA,15,NA,10,1
"102","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",21.4497041420118,61.3793103448276,16,5.5625,5.5625,1.24682964154851,0.695868872447306,97.9310344827586,5.68,NA,16,NA,10.6666666666667,1
"103","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",23.2248520710059,67.515923566879,22,4.81818181818182,4.81818181818182,1.06708951878208,0.971306738317807,98.0891719745223,5.7037037037037,NA,17,NA,11.3333333333333,1
"104","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",17.603550295858,69.7478991596639,12,6.91666666666667,6.91666666666667,1.82007597536062,0.93533402672483,93.2773109243697,5.84210526315789,NA,18,NA,12,1
"105","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",20.2662721893491,63.5036496350365,14,6.21428571428571,6.21428571428571,1.53672246943722,0.95481935498406,94.1605839416058,6.45,NA,19,NA,12.6666666666667,1
"106","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",22.0414201183432,38.9261744966443,11,5.27272727272727,5.27272727272727,1.03356205420682,0.745557425027593,80.5369127516778,4,NA,20,NA,13.3333333333333,1
"107","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",11.5384615384615,26.9230769230769,4,5.25,5.25,0.562335144618808,0.811278124459133,65.3846153846154,2.68421052631579,NA,21,NA,14,1
"108","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",15.6804733727811,22.6415094339623,4,6,6,1.03972077083992,0.946394630357186,58.4905660377358,2.69565217391304,NA,22,NA,14.6666666666667,1
"109","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",10.207100591716,NA,0,0,0,NA,NA,0,0,NA,23,NA,15.3333333333333,1
"110","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",8.72781065088757,NA,0,0,0,NA,NA,0,0,NA,24,NA,16,1
"111","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",2,"10370290","10370528",8.43195266272189,NA,0,0,0,NA,NA,0,0,NA,25,NA,16.6666666666667,1
