LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707151686.364585,576780.000,25508,2,EL,1,100,-19151.000000
1707151686.429599,576843.000,25524,1,EL,1,100,-19151.000000
1707151686.496160,576907.500,25541,2,EL,1,100,-19151.000000
1707151686.562721,576972.000,25541,2,EL,1,100,-19151.000000
1707151686.629799,577037.000,25556,2,EL,1,100,-19151.000000
1707151686.696876,577102.000,25556,2,EL,1,100,-19151.000000
1707151686.764985,577168.000,25573,1,EL,1,100,-19151.000000
1707151686.832063,577233.000,25590,2,EL,1,100,-19150.599609
1707151686.899140,577298.000,25590,2,EL,1,100,-19150.199219
1707151686.965186,577362.000,25609,1,EL,1,100,-19150.199219
1707151687.030715,577425.500,25623,2,EL,1,100,-19150.000000
1707151687.096244,577489.000,25623,2,EL,1,100,-19150.000000
1707151687.163322,577554.000,25640,1,EL,1,100,-19150.000000
1707151687.230399,577619.000,25657,2,EL,1,100,-19149.400391
1707151687.297477,577684.000,25657,2,EL,1,100,-19149.199219
1707151687.364554,577749.000,25674,1,EL,1,100,-19149.400391
1707151687.431631,577814.000,25689,2,EL,1,100,-19149.199219
1707151687.498709,577879.000,25689,2,EL,1,100,-19149.000000
1707151687.564754,577943.000,25706,2,EL,1,100,-19149.199219
1707151687.630799,578007.000,25706,2,EL,1,100,-19149.000000
1707151687.696845,578071.000,25722,1,EL,1,100,-19149.000000
1707151687.762890,578135.000,25741,2,EL,1,100,-19149.000000
1707151687.828936,578199.000,25741,2,EL,1,100,-19149.000000
1707151687.896013,578264.000,25758,1,EL,1,100,-19149.000000
1707151687.964122,578330.000,25773,2,EL,1,100,-19148.400391
1707151688.032232,578396.000,25773,2,EL,1,100,-19148.199219
1707151688.098793,578460.500,25789,2,EL,1,100,-19148.400391
1707151688.165354,578525.000,25789,2,EL,1,100,-19148.000000
1707151688.232432,578590.000,25807,1,EL,1,100,-19148.000000
1707151688.298477,578654.000,25823,2,EL,1,100,-19148.000000
1707151688.364523,578718.000,25823,2,EL,1,100,-19147.800781
1707151688.429536,578781.000,25840,1,EL,1,100,-19148.000000
1707151688.496613,578846.000,25856,2,EL,1,100,-19148.000000
1707151688.563691,578911.000,25856,2,EL,1,100,-19147.599609
1707151688.631284,578976.500,25874,2,EL,1,100,-19147.800781
1707151688.698877,579042.000,25874,2,EL,1,100,-19147.199219
1707151688.765955,579107.000,25890,1,EL,1,100,-19147.599609
1707151688.832000,579171.000,25908,2,EL,1,100,-19147.199219
1707151688.898046,579235.000,25908,2,EL,1,100,-19147.199219
1707151688.963059,579298.000,25924,1,EL,1,100,-19147.599609
1707151689.029620,579362.500,25939,2,EL,1,100,-19147.800781
1707151689.096182,579427.000,25939,2,EL,1,100,-19147.400391
1707151689.162227,579491.000,25956,2,EL,1,100,-19147.800781
1707151689.228273,579555.000,25956,2,EL,1,100,-19149.800781
1707151689.294834,579619.500,25972,2,EL,1,100,-19150.000000
1707151689.361395,579684.000,25972,2,EL,1,100,-19149.199219
1707151689.428473,579749.000,25988,1,EL,1,100,-19149.199219
1707151689.494002,579812.500,26006,2,EL,1,100,-19149.199219
1707151689.559532,579876.000,26006,2,EL,1,100,-19149.599609
1707151689.626609,579941.000,26024,1,EL,1,100,-19149.599609
1707151689.693686,580006.000,26039,2,EL,1,100,-19149.000000
1707151689.760764,580071.000,26039,2,EL,1,100,-19149.000000
1707151689.827841,580136.000,26055,1,EL,1,100,-19149.199219
1707151689.894403,580200.500,26073,2,EL,1,100,-19149.199219
1707151689.960964,580265.000,26073,2,EL,1,100,-19149.199219
1707151690.027009,580329.000,26089,2,EL,1,100,-19149.199219
1707151690.093055,580393.000,26089,2,EL,1,100,-19149.000000
1707151690.159100,580457.000,26105,1,EL,1,100,-19149.000000
1707151690.226693,580522.500,26123,2,EL,1,100,-19149.000000
1707151690.294287,580588.000,26123,2,EL,1,100,-19149.000000
1707151690.361364,580653.000,26140,1,EL,1,100,-19149.000000
1707151690.427926,580717.500,26158,2,EL,1,100,-19148.800781
1707151690.494487,580782.000,26158,2,EL,1,100,-19148.599609
1707151690.560532,580846.000,26176,1,EL,1,100,-19148.800781
1707151690.626578,580910.000,26190,2,EL,1,100,-19148.400391
1707151690.692623,580974.000,26190,2,EL,1,100,-19148.199219
1707151690.760732,581040.000,26207,1,EL,1,100,-19149.000000
1707151690.826778,581104.000,26224,2,EL,1,100,-19149.000000
1707151690.892823,581168.000,26224,2,EL,1,100,-19149.199219
1707151690.958869,581232.000,26241,2,EL,1,100,-19149.000000
1707151691.024914,581296.000,26241,2,EL,1,100,-19149.000000
1707151691.090960,581360.000,26257,1,EL,1,100,-19148.800781
1707151691.157521,581424.500,26273,2,EL,1,100,-19148.400391
1707151691.224082,581489.000,26273,2,EL,1,100,-19148.400391
1707151691.290128,581553.000,26294,1,EL,1,100,-19148.800781
1707151691.356689,581617.500,26313,2,EL,1,100,-19148.800781
1707151691.423250,581682.000,26313,2,EL,1,100,-19149.000000
1707151691.489296,581746.000,26329,1,EL,1,100,-19149.000000
1707151691.555341,581810.000,26346,2,EL,1,100,-19149.000000
1707151691.621387,581874.000,26346,2,EL,1,100,-19149.000000
1707151691.687432,581938.000,26361,2,EL,1,100,-19149.000000
1707151691.753477,582002.000,26361,2,EL,1,100,-19148.800781
1707151691.821587,582068.000,26378,1,EL,1,100,-19149.000000
