LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707151615.903081,508500.667,14478,3,AZ,1,100,-0.282
1707151615.942983,508539.333,14478,3,AZ,1,100,-0.284
1707151615.982885,508578.000,14478,3,AZ,1,100,-0.283
1707151616.022788,508616.667,14495,3,AZ,1,100,-0.280
1707151616.062690,508655.333,14495,3,AZ,1,100,-0.283
1707151616.102593,508694.000,14495,3,AZ,1,100,-0.283
1707151616.141807,508732.000,14512,2,AZ,1,100,-0.282
1707151616.181022,508770.000,14512,2,AZ,1,100,-0.278
1707151616.220924,508808.667,14529,3,AZ,1,100,-0.279
1707151616.260826,508847.333,14529,3,AZ,1,100,-0.282
1707151616.300729,508886.000,14529,3,AZ,1,100,-0.280
1707151616.340631,508924.667,14546,3,AZ,1,100,-0.281
1707151616.380534,508963.333,14546,3,AZ,1,100,-0.281
1707151616.420436,509002.000,14546,3,AZ,1,100,-0.281
1707151616.460683,509041.000,14563,2,AZ,1,100,-0.280
1707151616.500929,509080.000,14563,2,AZ,1,100,-0.281
1707151616.540401,509118.250,14579,4,AZ,1,100,-0.283
1707151616.579874,509156.500,14579,4,AZ,1,100,-0.280
1707151616.619346,509194.750,14579,4,AZ,1,100,-0.277
1707151616.658819,509233.000,14579,4,AZ,1,100,-0.281
1707151616.698033,509271.000,14597,3,AZ,1,100,-0.283
1707151616.737248,509309.000,14597,3,AZ,1,100,-0.281
1707151616.776462,509347.000,14597,3,AZ,1,100,-0.283
1707151616.816709,509386.000,14611,2,AZ,1,100,-0.280
1707151616.856955,509425.000,14611,2,AZ,1,100,-0.280
1707151616.896857,509463.667,14628,3,AZ,1,100,-0.281
1707151616.936760,509502.333,14628,3,AZ,1,100,-0.280
1707151616.976662,509541.000,14628,3,AZ,1,100,-0.282
1707151617.016393,509579.500,14645,2,AZ,1,100,-0.283
1707151617.056123,509618.000,14645,2,AZ,1,100,-0.281
1707151617.091554,509652.333,14664,3,AZ,1,100,-0.283
