eid,utc,trecon,dv,V1,sid,t,filter
blue8,1707824280.86544,0,ACC,1.03350568455137,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.865440Z,1
blue8,1707824280.90564,0,ACC,1.03218990500779,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.905640Z,1
blue8,1707824280.94549,0,ACC,1.03389216072084,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.945490Z,1
blue8,1707824280.98534,0,ACC,1.03627940247792,blue8_2024-02-13_11-37-17,2024-02-13T11:38:00.985340Z,1
blue8,1707824281.02519,0,ACC,1.03341134114156,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.025190Z,1
blue8,1707824281.06504,0,ACC,1.03546607863319,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.065040Z,1
blue8,1707824281.10489,0,ACC,1.03350568455137,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.104890Z,1
blue8,1707824281.14474,0,ACC,1.03267468255981,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.144740Z,1
blue8,1707824281.18459,0,ACC,1.03307986138536,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.184590Z,1
blue8,1707824281.22445,0,ACC,1.0337296551807,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.224450Z,1
blue8,1707824281.2643,0,ACC,1.03309099308822,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.264300Z,1
blue8,1707824281.30415,0,ACC,1.0323032500191,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.304150Z,1
blue8,1707824281.344,0,ACC,1.03493043244462,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.344Z,1
blue8,1707824281.38385,0,ACC,1.03400822047022,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.383850Z,1
blue8,1707824281.42181,0,ACC,1.03561286202905,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.421810Z,1
blue8,1707824281.45977,0,ACC,1.03469125829882,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.459770Z,1
blue8,1707824281.49773,0,ACC,1.0351140033832,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.497730Z,1
blue8,1707824281.5357,0,ACC,1.03522606226853,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.535700Z,1
blue8,1707824281.57366,0,ACC,1.03334118276589,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.573660Z,1
blue8,1707824281.61162,0,ACC,1.03561286202905,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.611620Z,1
blue8,1707824281.65156,0,ACC,1.03467579463328,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.651560Z,1
blue8,1707824281.69149,0,ACC,1.03400822047022,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.691490Z,1
blue8,1707824281.73143,0,ACC,1.03721453904195,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.731430Z,1
blue8,1707824281.77137,0,ACC,1.03389216072084,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.771370Z,1
blue8,1707824281.81105,0,ACC,1.03269017619032,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.811050Z,1
blue8,1707824281.85073,0,ACC,1.03214049431267,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.850730Z,1
blue8,1707824281.89023,0,ACC,1.03524441558503,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.890230Z,1
blue8,1707824281.92974,0,ACC,1.03429251181665,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.929740Z,1
blue8,1707824281.96925,0,ACC,1.03494685853912,blue8_2024-02-13_11-37-17,2024-02-13T11:38:01.969250Z,1
blue8,1707824282.0091,0,ACC,1.03283832229444,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.009100Z,1
blue8,1707824282.04895,0,ACC,1.03202422452189,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.048950Z,1
blue8,1707824282.0888,0,ACC,1.02963780039391,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.088800Z,1
blue8,1707824282.12848,0,ACC,1.02974608520742,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.128480Z,1
blue8,1707824282.16816,0,ACC,1.03350568455137,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.168160Z,1
blue8,1707824282.20801,0,ACC,1.03167291328211,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.208010Z,1
blue8,1707824282.24786,0,ACC,1.03324440477556,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.247860Z,1
blue8,1707824282.28771,0,ACC,1.03189534353053,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.287710Z,1
blue8,1707824282.32756,0,ACC,1.03360001934985,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.327560Z,1
blue8,1707824282.36742,0,ACC,1.03326472890542,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.367420Z,1
blue8,1707824282.40727,0,ACC,1.03400822047022,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.407270Z,1
blue8,1707824282.44746,0,ACC,1.03339343911213,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.447460Z,1
blue8,1707824282.48766,0,ACC,1.03243692301273,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.487660Z,1
blue8,1707824282.52613,0,ACC,1.03413635464575,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.526130Z,1
blue8,1707824282.56461,0,ACC,1.03548346196354,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.564610Z,1
blue8,1707824282.60309,0,ACC,1.03498550714491,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.603090Z,1
blue8,1707824282.64277,0,ACC,1.03613416119728,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.642770Z,1
blue8,1707824282.68244,0,ACC,1.0327076062468,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.682440Z,1
blue8,1707824282.7223,0,ACC,1.03663735221147,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.722300Z,1
blue8,1707824282.76215,0,ACC,1.03551967629785,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.762150Z,1
blue8,1707824282.802,0,ACC,1.03268097687524,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.802Z,1
blue8,1707824282.84185,0,ACC,1.03548394482966,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.841850Z,1
blue8,1707824282.8817,0,ACC,1.03548394482966,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.881700Z,1
blue8,1707824282.92155,0,ACC,1.03276812499225,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.921550Z,1
blue8,1707824282.96175,0,ACC,1.03410734452474,blue8_2024-02-13_11-37-17,2024-02-13T11:38:02.961750Z,1
blue8,1707824283.00194,0,ACC,1.03785692655587,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.001940Z,1
blue8,1707824283.04179,0,ACC,1.03147370300944,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.041790Z,1
blue8,1707824283.08164,0,ACC,1.03171023063649,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.081640Z,1
blue8,1707824283.12149,0,ACC,1.03200145348735,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.121490Z,1
blue8,1707824283.16066,0,ACC,1.0353965423933,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.160660Z,1
blue8,1707824283.19982,0,ACC,1.03750132530036,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.199820Z,1
blue8,1707824283.23899,0,ACC,1.03494685853912,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.238990Z,1
blue8,1707824283.27866,0,ACC,1.0323032500191,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.278660Z,1
blue8,1707824283.31834,0,ACC,1.03285671803983,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.318340Z,1
blue8,1707824283.35819,0,ACC,1.03387571786942,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.358190Z,1
blue8,1707824283.39805,0,ACC,1.03225287599502,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.398050Z,1
blue8,1707824283.4379,0,ACC,1.02990921930042,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.437900Z,1
blue8,1707824283.47809,0,ACC,1.03612740529338,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.478090Z,1
blue8,1707824283.51829,0,ACC,1.03244418735349,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.518290Z,1
blue8,1707824283.55814,0,ACC,1.03212789905128,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.558140Z,1
blue8,1707824283.59799,0,ACC,1.03239914761685,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.597990Z,1
blue8,1707824283.63784,0,ACC,1.03299080344406,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.637840Z,1
blue8,1707824283.67735,0,ACC,1.03602799189983,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.677350Z,1
blue8,1707824283.71685,0,ACC,1.03469125829882,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.716850Z,1
blue8,1707824283.75636,0,ACC,1.03045523920256,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.756360Z,1
blue8,1707824283.79553,0,ACC,1.03964272709427,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.795530Z,1
blue8,1707824283.83469,0,ACC,1.03319359270177,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.834690Z,1
blue8,1707824283.87488,0,ACC,1.03596042395451,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.874880Z,1
blue8,1707824283.91508,0,ACC,1.03356373775399,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.915080Z,1
blue8,1707824283.95527,0,ACC,1.03448441264236,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.955270Z,1
blue8,1707824283.99495,0,ACC,1.03718754331124,blue8_2024-02-13_11-37-17,2024-02-13T11:38:03.994950Z,1
blue8,1707824284.03463,0,ACC,1.0327327824757,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.034630Z,1
blue8,1707824284.07448,0,ACC,1.03482413964886,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.074480Z,1
blue8,1707824284.11433,0,ACC,1.04211995470771,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.114330Z,1
blue8,1707824284.15419,0,ACC,1.03506135083868,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.154190Z,1
blue8,1707824284.19438,0,ACC,1.03065076529346,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.194380Z,1
blue8,1707824284.23457,0,ACC,1.03476760676009,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.234570Z,1
blue8,1707824284.27477,0,ACC,1.03674779961184,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.274770Z,1
blue8,1707824284.31599,0,ACC,1.02899659863383,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.315990Z,1
blue8,1707824284.35722,0,ACC,1.03248680378976,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.357220Z,1
blue8,1707824284.39707,0,ACC,1.03874395305099,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.397070Z,1
blue8,1707824284.43692,0,ACC,1.0378892041061,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.436920Z,1
blue8,1707824284.47677,0,ACC,1.03763095559067,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.476770Z,1
blue8,1707824284.51645,0,ACC,1.03361017796846,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.516450Z,1
blue8,1707824284.55613,0,ACC,1.03539509367198,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.556130Z,1
blue8,1707824284.59564,0,ACC,1.0358938169523,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.595640Z,1
blue8,1707824284.63515,0,ACC,1.03419195510311,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.635150Z,1
blue8,1707824284.67465,0,ACC,1.03236282381729,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.674650Z,1
blue8,1707824284.71073,0,ACC,1.03243692301273,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.710730Z,1
blue8,1707824284.7468,0,ACC,1.03110135292317,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.746800Z,1
blue8,1707824284.78287,0,ACC,1.03149697042696,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.782870Z,1
blue8,1707824284.82272,0,ACC,1.03110862667325,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.822720Z,1
blue8,1707824284.86257,0,ACC,1.03396421601524,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.862570Z,1
blue8,1707824284.90242,0,ACC,1.03516327214599,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.902420Z,1
blue8,1707824284.94262,0,ACC,1.03305808161981,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.942620Z,1
blue8,1707824284.98281,0,ACC,1.03283783819146,blue8_2024-02-13_11-37-17,2024-02-13T11:38:04.982810Z,1
blue8,1707824285.02266,0,ACC,1.03519515068416,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.022660Z,1
blue8,1707824285.06251,0,ACC,1.03421226061191,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.062510Z,1
blue8,1707824285.10237,0,ACC,1.03415714473188,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.102370Z,1
blue8,1707824285.14204,0,ACC,1.03128415094968,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.142040Z,1
blue8,1707824285.18172,0,ACC,1.03335666640323,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.181720Z,1
blue8,1707824285.22123,0,ACC,1.03297095796542,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.221230Z,1
blue8,1707824285.26074,0,ACC,1.03300774440466,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.260740Z,1
blue8,1707824285.30025,0,ACC,1.03311664394685,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.300250Z,1
blue8,1707824285.34113,0,ACC,1.03300774440466,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.341130Z,1
blue8,1707824285.38201,0,ACC,1.03339489063959,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.382010Z,1
blue8,1707824285.42289,0,ACC,1.03312196763015,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.422890Z,1
blue8,1707824285.46257,0,ACC,1.03452791165826,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.462570Z,1
blue8,1707824285.50225,0,ACC,1.0329419151143,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.502250Z,1
blue8,1707824285.5421,0,ACC,1.0353593579043,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.542100Z,1
blue8,1707824285.58195,0,ACC,1.03332763439289,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.581950Z,1
