tid,nid,eid,utc,trecon,dv,raw,sid,t,filter,pid,category,condition,item,stim,tt,norm
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.5933,0,ACC,0.996120976588687,red4_2024-02-13_11-27-08,1707823685.5933,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.17741012573242,-0.0164682149480242
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.63284,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.63284,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.21694898605347,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.63284,0,ACC,0.993666946214877,red4_2024-02-13_11-27-08,1707823685.63284,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.21694993972778,-0.815893710071452
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.67203,0,ACC,0.990709846524198,red4_2024-02-13_11-27-08,1707823685.67203,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.2561399936676,-1.77919918076946
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.69885,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.69885,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.28295803070068,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.71122,0,ACC,0.998299053390316,red4_2024-02-13_11-27-08,1707823685.71122,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.29533004760742,0.693062581468202
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.73856,0,HR,70.2517988983302,red4_2024-02-13_11-27-08,1707823685.73856,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.32266712188721,0.811504555765373
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.75145,0,ACC,0.991315287887764,red4_2024-02-13_11-27-08,1707823685.75145,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.33556008338928,-1.58197046387893
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.76537,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.76537,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.34948205947876,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.79167,0,ACC,0.993070994440982,red4_2024-02-13_11-27-08,1707823685.79167,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.37578010559082,-1.01003109606312
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.8319,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.8319,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.41600513458252,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.8319,0,ACC,0.996050701520761,red4_2024-02-13_11-27-08,1707823685.8319,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.4160099029541,-0.0393610371278722
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.8716,0,ACC,0.991603247271811,red4_2024-02-13_11-27-08,1707823685.8716,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.45570993423462,-1.48816474915592
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.8979,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.8979,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.48201394081116,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.91131,0,ACC,0.990590228096361,red4_2024-02-13_11-27-08,1707823685.91131,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.49541997909546,-1.81816610714496
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.95119,0,ACC,0.996667447045402,red4_2024-02-13_11-27-08,1707823685.95119,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.5353000164032,0.161550125856544
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.96443,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823685.96443,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.54853796958923,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823685.99107,0,ACC,0.995524987129906,red4_2024-02-13_11-27-08,1707823685.99107,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.57518005371094,-0.210617877176794
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823686.03095,0,ACC,0.993228070485324,red4_2024-02-13_11-27-08,1707823686.03095,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.61506009101868,-0.958861967978863
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823686.03095,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823686.03095,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.61506104469299,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823686.07083,0,ACC,0.994516968181036,red4_2024-02-13_11-27-08,1707823686.07083,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.65494012832642,-0.538990360212975
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823686.09696,0,EA,3.973031,red4_2024-02-13_11-27-08,1707823686.09696,1,10370290,narrative_order,end,benz,LATE_MB.mp4,2.68107008934021,-2.39054265466585
