category,condition,item,stim,edv,t,metric,y
cluster,man,pizza,pizza.mp4,HR,51,raw,71.2165020306665
cluster,man,pizza,pizza.mp4,EA,52,raw,4.11269889130435
cluster,man,pizza,pizza.mp4,ACC,52,raw,1.02331137424172
cluster,man,pizza,pizza.mp4,HR,52,raw,70.8872902454283
cluster,man,pizza,pizza.mp4,ACC,53,raw,1.02205607683091
cluster,man,pizza,pizza.mp4,EA,53,raw,4.11802189130435
cluster,man,pizza,pizza.mp4,HR,53,raw,71.2130810942743
cluster,man,pizza,pizza.mp4,ACC,54,raw,1.02268942395865
cluster,man,pizza,pizza.mp4,EA,54,raw,4.11137588888889
cluster,man,pizza,pizza.mp4,HR,54,raw,70.8011008044512
cluster,man,pizza,pizza.mp4,ACC,55,raw,1.02266719527326
cluster,man,pizza,pizza.mp4,EA,55,raw,4.11033571111111
cluster,man,pizza,pizza.mp4,HR,55,raw,70.6316817691319
cluster,man,pizza,pizza.mp4,ACC,56,raw,1.02242041973475
cluster,man,pizza,pizza.mp4,EA,56,raw,4.11810244444444
cluster,man,pizza,pizza.mp4,HR,56,raw,69.4512059843247
cluster,man,pizza,pizza.mp4,ACC,57,raw,1.02229816100123
cluster,man,pizza,pizza.mp4,EA,57,raw,4.12520622222222
cluster,man,pizza,pizza.mp4,HR,57,raw,69.214296795045
cluster,man,pizza,pizza.mp4,ACC,58,raw,1.02216285379283
cluster,man,pizza,pizza.mp4,EA,58,raw,4.11980211111111
cluster,man,pizza,pizza.mp4,HR,58,raw,68.6249573505664
cluster,man,pizza,pizza.mp4,ACC,59,raw,1.02233627596908
cluster,man,pizza,pizza.mp4,EA,59,raw,4.10691695555556
cluster,man,pizza,pizza.mp4,HR,59,raw,68.72882145625
cluster,man,pizza,pizza.mp4,ACC,60,raw,1.02201623781418
cluster,man,pizza,pizza.mp4,EA,60,raw,4.10223808888889
cluster,man,pizza,pizza.mp4,HR,60,raw,69.1771175835231
cluster,man,pizza,pizza.mp4,ACC,61,raw,1.02288227774225
cluster,man,pizza,pizza.mp4,EA,61,raw,4.09766597777778
cluster,man,pizza,pizza.mp4,HR,61,raw,69.2732063847946
cluster,man,pizza,pizza.mp4,ACC,62,raw,1.0225788125512
cluster,man,pizza,pizza.mp4,EA,62,raw,4.09006844444444
cluster,man,pizza,pizza.mp4,HR,62,raw,70.3518639477684
cluster,man,pizza,pizza.mp4,ACC,63,raw,1.02286736469637
cluster,man,pizza,pizza.mp4,EA,63,raw,4.08437242222222
cluster,man,pizza,pizza.mp4,HR,63,raw,70.5645471002039
cluster,man,pizza,pizza.mp4,ACC,64,raw,1.0221164935312
cluster,man,pizza,pizza.mp4,EA,64,raw,4.08764864444444
cluster,man,pizza,pizza.mp4,HR,64,raw,70.3399636657884
cluster,man,pizza,pizza.mp4,ACC,65,raw,1.02186082513186
cluster,man,pizza,pizza.mp4,EA,65,raw,4.09748151111111
cluster,man,pizza,pizza.mp4,HR,65,raw,70.958367155502
cluster,man,pizza,pizza.mp4,ACC,66,raw,1.02238699944814
cluster,man,pizza,pizza.mp4,EA,66,raw,4.1089826
cluster,man,pizza,pizza.mp4,HR,66,raw,70.6151115682497
cluster,man,pizza,pizza.mp4,ACC,67,raw,1.02229655161186
cluster,man,pizza,pizza.mp4,EA,67,raw,4.11332415555556
cluster,man,pizza,pizza.mp4,HR,67,raw,70.2102391852468
cluster,man,pizza,pizza.mp4,ACC,68,raw,1.0222417333839
cluster,man,pizza,pizza.mp4,EA,68,raw,4.11290365217391
cluster,man,pizza,pizza.mp4,HR,68,raw,70.9681020453391
cluster,man,pizza,pizza.mp4,ACC,69,raw,1.02223567734143
cluster,man,pizza,pizza.mp4,EA,69,raw,4.11147575555556
cluster,man,pizza,pizza.mp4,HR,69,raw,70.2480792992588
cluster,man,pizza,pizza.mp4,ACC,70,raw,1.02242125005947
cluster,man,pizza,pizza.mp4,EA,70,raw,4.10803533333333
cluster,man,pizza,pizza.mp4,HR,70,raw,70.4750338569541
cluster,man,pizza,pizza.mp4,ACC,71,raw,1.0227175026549
cluster,man,pizza,pizza.mp4,EA,71,raw,4.09996782222222
cluster,man,pizza,pizza.mp4,HR,71,raw,71.5183678141564
cluster,man,pizza,pizza.mp4,ACC,72,raw,1.02184838123055
cluster,man,pizza,pizza.mp4,EA,72,raw,4.09638142222222
